1;@Kaepernick7  People are losing their lives everyday while fighting over seas and defending your rights.  #ShowSomeRespect   #ImSoGladYouSuckNow
1;@Kaepernick7  refusal to stand 4 national anthem is what I would expect from a jock...with nothing but air between his ears  @NFL
0;@Kaepernick7  Dude seriously now is the time to Focus on Football/ your career. Do the other stuff on your own time.
1;@Kaepernick7  only in America can you be raised by whites, make millions and still be pissed at whites!
1;@Kaepernick7  if you really want to draw attention to the BLM movement, donate your time and money.  I hope you sit on that bench all season
1;@Kaepernick7  Good morning. You're still a piece of crap. Grow up!
1;@Kaepernick7  America gave you EVERYTHING and you spit in her face ... stupid & reactionary reason your game never improved
0;@Kaepernick7  I respect your stance and God bless you. "Judgement must come to USA" "Be not deceived" what you sow your going to reap"Gal6:7
0;@Kaepernick7  It takes courage to speak out when it is so much easier to stay silent. pic.twitter.com/aCrIw775bL
0;@Kaepernick7  has my support, I think people are really getting upset with what he did, instead of empathizing with the message he deliver.
0;@Kaepernick7  you took alot of heat for sitting during the american anthem i don't blame you stand up for your people BLACK LIVES MATTER!!!!!
0;@Kaepernick7  is certainly one of the  #entitled , but I will fight to the death to allow him to sit.  #FirstAmendment   #Constitution
0;@kaepernick7  Didn't quite agree witchu at first. But I was pre judging your actions without…  https://www.instagram.com/p/BJvK0HKBvAJ/
1;@Kaepernick7  you should go to the police training you were invited to on a Sunday. It's not like you'll be getting any time on the field
1;@Kaepernick7  should move out of our country!  #USA   #USA   #USA   #USA   #USA   #USA   #USA   #USA   #USA   #USA   #USA   #USA   #USA   #USA pic.twitter.com/uIH22BD8qq
1;@Kaepernick7   #ColinKapernik  's biological father abandoned him.60% of black children are raised without a father at home. Flags fault?
0;@Kaepernick7  all because I support your stance! People's true colors really shine through at the craziest times. Don't worry about them
0;@Kaepernick7   I'm a 48 y.o. Black woman of 2 children. Be proud. I love that u have taken a stand. I will support you however I can! Ty.
1;@Kaepernick7  you need to be cut who would want someone like you on their team
1;@Kaepernick7   @DailyCaller  Great role model! Would you be where you are today, if you were living anywhere but the USA? No you wouldn't!
0;@Kaepernick7  respecting our flag and country doesn't automatically mean supporting the corrupt politicians. Work together to change that.
1;@Kaepernick7  are you half oppressed only the white part of you makes the 19mil well I hope you chokes on that 19 mil you poor little child
1;@Kaepernick7  Colin nothing like putting gas on the fire!!! Another ignorant BLM follower!!! Go help people out in Chicago then!!!
0;@Kaepernick7  has the right to make issues known, however, the way he went about the whole situation was completely wrong, sets a bad example
1;@Kaepernick7  you're making millions! I doubt you're "oppressed." Show respect for your country and your flag or leave!  #ColinKaepernick   #USA
